,StateName,f_voters_turnout,m_voters_turnout,year
1722,Odisha,57.32599558485833,67.34682293284476,1999
1723,Odisha,67.81329246711546,59.8727827866615,2014
1724,Odisha,58.5884997755335,55.99028681688851,1999
1726,Odisha,53.00490719087324,64.51666763929686,1999
1727,Odisha,64.03829999361783,68.36778681744859,2004
1728,Odisha,44.469180809457235,57.378893689752054,1999
1729,Odisha,74.19551412260257,72.5546931345949,2014
1730,Odisha,51.762925372239735,56.80682723005987,2004
1731,Odisha,62.88909176439089,69.42585843630773,2004
1733,Odisha,58.57190251724471,62.39421315207132,2004
1734,Odisha,69.41090326535416,66.23662491232764,2014
1736,Odisha,63.83779323942053,70.3795327201607,2004
1744,Odisha,63.3754124283477,69.36009511673502,2009
1747,Odisha,75.92988334060531,75.36814162466594,2014
1748,Odisha,44.44870131721503,57.417076284467136,1999
1750,Odisha,67.93939679746842,69.03723522047824,2004
1751,Odisha,32.891807915124794,48.97107189934874,1999
1753,Odisha,70.96098425350175,69.61159310220218,2009
1754,Odisha,77.55653178510195,79.3288867587933,2014
1755,Odisha,61.048273507191944,71.99097450138854,2004
1757,Odisha,69.4221740146294,70.80063409143925,2009
1758,Odisha,59.05508140166034,64.66928395584867,1999
1761,Odisha,77.54004674495496,73.62113888182193,2014
1762,Odisha,71.26438219109555,71.42197422640973,2014
1763,Odisha,76.82167034194536,69.70226592684773,2014
1765,Odisha,81.25273735855392,79.59468822003879,2014
1766,Odisha,60.131695660232474,62.3794950386469,2009
1767,Odisha,74.60740511368662,76.74072258470163,2014
1768,Odisha,75.32247023968684,74.3198505953608,2014
1769,Odisha,60.12129559692541,69.21346733813365,2004
1770,Odisha,60.49579392372622,64.92356448827015,2009
1771,Odisha,65.57755306453691,67.75593510072356,2009
1772,Odisha,75.19317940451512,75.02688886176469,2014
1773,Odisha,80.4113847997834,77.9362781674377,2014
1775,Odisha,50.34815322119128,64.70595600071543,1999
1776,Odisha,51.356567870891425,65.90815364204536,1999
1777,Odisha,54.873251140551616,54.29084545547494,2009
1782,Odisha,69.65052238538038,70.51109603176833,2009
1783,Odisha,76.27392807227713,76.31037934237723,2014
1784,Odisha,71.26328751367978,71.3416797156194,2004
1785,Odisha,49.71731950927902,48.65975178457983,2009
1787,Odisha,67.02772393742212,66.07398097491252,2009
1788,Punjab,67.0191484169409,62.80967416842128,2009
1789,Punjab,62.895127183971276,66.26298127003639,2009
1790,Punjab,53.83683113046246,57.4495541572609,2004
1796,Punjab,68.33786162499493,70.73719975836026,2009
1798,Punjab,71.2157129250099,67.87781484264292,2014
1799,Punjab,71.68949771689498,70.73690583183543,1999
1802,Punjab,72.14568529911558,72.9923830788384,2014
1803,Punjab,71.13636474611363,73.3346098640198,2009
1804,Punjab,44.761927724953196,50.722117669394414,1999
1805,Punjab,54.13831630752905,59.02639546790627,1999
1806,Punjab,56.58970749848066,60.66466507628482,2004
1807,Punjab,77.44244488286436,76.96614468271439,2014
1808,Punjab,60.979669237144485,60.608527638372955,2004
1809,Punjab,58.851900734874775,63.51848749105744,2004
