,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation,Constituency1
1811,Punjab,PB,S19,1,Gurdaspur,784477,715839,1500337,532763,509586,1042349,2014,299,,1,GURDASPUR
789,Haryana,HR,S07,1,Gurgaon,984370,860536,1844906,727100,593187,1320287,2014,135,,0,GURGAON
1244,Madhya Pradesh,MP,S12,1,GWALIOR,1023937,852908,1876965,594606,395609,990230,2014,197,,0,GWALIOR
572,Bihar,BH,S04,1,Hajipur (SC),895047,754452,1649547,478157,425876,904033,2014,79,,0,HAJIPUR
2549,Uttar Pradesh,UP,S24,1,Hamirpur,949328,788636,1737993,550111,427480,977593,2014,425,,0,HAMIRPUR
827,Himachal Pradesh,HP,S08,2,Hamirpur,633572,614126,1247699,394620,438467,833087,2014,139,,1,HAMIRPUR
2304,Uttar Pradesh,UP,S24,1,Hardoi,939831,774501,1714388,565516,407349,972865,2014,409,,0,HARDOI
3178,Uttarakhand,UK,S28,2,Hardwar,888328,754505,1642873,637480,535871,1173352,2014,530,,0,HARDWAR
980,Karnataka,KA,S10,1,Hassan,789847,771551,1561486,585749,560755,1146508,2014,162,,0,HASSAN
2342,Uttar Pradesh,UP,S24,1,Hathras,969908,788925,1758927,596865,452373,1049240,2014,394,,0,HATHRAS
1475,Maharashtra,MH,S13,1,Hatkanangle,850721,779846,1630604,630470,556249,1186727,2014,271,,0,HATKANANGLE
1035,Karnataka,KA,S10,1,Haveri,807076,751596,1558749,594946,520512,1115458,2014,156,,0,HAVERI
3117,Jharkhand,JH,S27,1,Hazaribagh,812554,706367,1518923,515052,452228,967280,2014,525,,1,HAZARIBAGH
191,Andhra Pradesh,AP,S01,1,Hindupur,734674,711755,1446496,598591,572192,1170783,2014,37,,1,HINDUPUR
1581,Maharashtra,MH,S13,1,Hingoli,839540,746644,1586194,575663,473420,1049085,2014,238,,0,HINGOLI
791,Haryana,HR,S07,1,Hisar,825688,691918,1517606,637448,518049,1155497,2014,130,,1,HISAR
2801,West Bengal,WB,S25,1,Hooghly,836584,793445,1630042,696614,650941,1347556,2014,486,,0,HOOGHLY
1311,Madhya Pradesh,MP,S12,1,HOSHANGABAD,835566,732614,1568206,593375,436990,1030365,2014,211,,0,HOSHANGABAD
1861,Punjab,PB,S19,1,Hoshiarpur,762065,723207,1485286,473084,487516,960600,2014,303,,1,HOSHIARPUR
2964,West Bengal,WB,S25,1,Howrah,802653,702441,1505099,621808,503224,1125035,2014,483,,1,HOWRAH
190,Andhra Pradesh,AP,S01,1,Hyderabad,960480,862516,1823217,525811,445415,971226,2014,9,,0,HYDERABAD
1121,Kerala,KL,S11,1,Idukki,578849,579886,1158735,424879,394103,818982,2014,187,,1,IDUKKI
