,StateName,stateabb,PCNAME,t_voters,t_electors,voters_turnout,log_electors,sex_ratio,f_voters_turnout,year
2513,Uttar Pradesh,UP,Maharajganj,1060238,1743131,60.8,14.37,842,64.1,2014
2514,Uttar Pradesh,UP,Lucknow,583868,1653123,35.3,14.32,859,29.9,2009
2515,Uttar Pradesh,UP,Ghosi,1039511,1891112,55.0,14.45,818,57.8,2014
2516,Uttar Pradesh,UP,Pratapgarh,640977,1435159,44.7,14.18,868,45.7,2009
2517,Uttar Pradesh,UP,Robertsganj,755019,1443487,52.3,14.18,825,44.7,1999
2518,Uttar Pradesh,UP,Ghazipur,986259,1801519,54.7,14.4,832,55.9,2014
2519,Uttar Pradesh,UP,Gautam buddh Nagar,738976,1522397,48.5,14.24,801,44.0,2009
2520,Uttar Pradesh,UP,Rampur,958303,1616972,59.3,14.3,854,57.8,2014
2521,Uttar Pradesh,UP,Kaiserganj,942413,1711967,55.0,14.35,844,53.0,2014
2522,Uttar Pradesh,UP,KAISERGANJ,569938,1272807,44.8,14.06,834,37.4,2004
2523,Uttar Pradesh,UP,Ghosi,765629,1693231,45.2,14.34,861,44.7,2009
2525,Uttar Pradesh,UP,Agra,645354,1539683,41.9,14.25,798,35.5,2009
2526,Uttar Pradesh,UP,Shahabad,649856,1128503,57.6,13.94,807,46.8,1999
2529,Uttar Pradesh,UP,Mainpuri,692415,1399259,49.5,14.15,799,43.4,2009
2531,Uttar Pradesh,UP,Ghazipur,770232,1527723,50.4,14.24,870,49.7,2009
2533,Uttar Pradesh,UP,Bulandshahr,668301,1482749,45.1,14.21,830,41.4,2009
